t,state,attacker_action,defender_action,UD,UA,SAP,SAL,DC,ASSC,NC,AIC,AS_success,is_absorbing,power_W,q_vec,p_vec,td_loss,entropy
671,p2_s3,lateral,iphop,5.3305282225573185,4.546928651347886,5.849810421110029,5.1969286513478865,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
672,p2_s3,destroy,iphop,4.943723185876531,4.335535777210153,5.479915523385772,4.835535777210153,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
673,p2_s3,destroy,iphop,5.116902650991909,3.7819262432531673,5.669842370398845,4.281926243253167,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
674,p2_s3,destroy,iphop,5.230929273306222,3.9796457488998525,5.785056151869787,4.479645748899853,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
675,p2_s3,destroy,iphop,5.3257136335914765,4.405734424163133,5.864375979916864,4.905734424163133,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
676,p2_s3,destroy,iphop,5.405201954059102,4.841997527498472,5.9259660963729415,5.341997527498472,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
677,p2_s3,destroy,iphop,5.1433294816434945,4.592404491276011,5.660217274398836,5.092404491276011,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
678,p2_s3,lateral,iphop,5.215900896453327,4.273887183267893,5.746498092010603,4.923887183267893,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
679,p2_s3,lateral,iphop,5.179448174937309,4.4262154330289,5.728736163945001,5.0762154330289,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
680,p2_s3,destroy,iphop,5.139242165000789,4.034486633148108,5.695018108806079,4.534486633148108,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
681,p2_s3,destroy,iphop,5.09625755906605,3.9539768159757016,5.640353623295943,4.453976815975702,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
682,p2_s3,destroy,iphop,5.236162054135168,4.23590232202863,5.761148831833767,4.73590232202863,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
683,p2_s3,lateral,iphop,5.136445353638991,4.450240979408915,5.652462427760278,5.100240979408915,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
684,p2_s3,destroy,iphop,5.388057028199983,4.122610528435084,5.9134906858010154,4.622610528435084,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
685,p2_s3,destroy,iphop,5.092645096684775,4.414945750387019,5.63722406139813,4.914945750387019,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
686,p2_s3,destroy,iphop,5.119326182118233,4.1115893959989505,5.675177070510529,4.6115893959989505,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
687,p2_s3,destroy,iphop,5.448122269349891,4.227648253055845,5.997008343340465,4.727648253055845,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
