t,UD,SAL
718,5.3353,4.5195
719,5.1586,4.9962
720,5.0871,4.8821
721,5.0497,4.8751
722,5.156,4.69
723,5,4.4934
724,5.2212,4.93
725,5.2964,4.4674
726,5.2746,4.5299
727,5.1147,4.8069
728,5.3607,4.7467
729,5.0957,5.1264
730,5.0554,4.8464
731,5.3136,4.8748
732,5.1778,4.2765
733,5.3894,4.8406
734,5.3101,5.0151
735,5.2012,5.1111
736,4.9305,4.7768
737,5.3336,5.0023
738,5.157,4.6733
739,5.4435,4.5606
740,5.3067,4.836
741,4.9962,4.5663
742,5.2133,4.5451
743,5.321,4.4569
744,5.1876,4.7297
745,4.9885,4.4664
746,5.2934,4.7761
747,5.3768,4.8664
748,4.9527,4.7099
749,5.1081,5.3955
750,3.9056,5.7995
751,4.2433,5.5875
752,3.7022,6.5436
753,4.5443,5.2397
754,4.8101,4.7948
755,5.1274,4.6766
756,5.3678,4.5468
757,5.2637,4.7881
758,5.3181,4.6376
759,5.3254,5.0037
760,5.166,4.8576
761,5.0744,4.6335
762,5.2345,4.779
763,5.0896,4.8111
764,5.0878,4.7342
765,5.1076,4.4653
766,5.3011,4.7162
767,5.5242,5.2382
768,5.1029,4.5582
769,5.209,4.8712
770,5.2687,4.4978
771,5.0936,5.0096
772,5.0741,4.9468
773,5.0855,4.7087
774,5.2536,4.205
775,4.8892,4.6632
776,5.2839,4.8166
777,5.0917,4.9843
778,5.1259,4.6606
779,5.0806,4.9464
780,5.1648,4.4824
781,4.9725,4.7117
782,5.0954,5.1377
783,5.3367,4.6696
784,5.137,4.2852
785,5.1805,4.5538
786,5.4328,4.8593
787,5.2138,4.7318
788,5.2794,4.5682
789,5.1621,4.852
790,5.125,4.9534
791,5.2861,5.0853
792,4.9388,5.1302
793,5.3487,4.9426
794,5.2346,4.937
795,5.346,5.1847
796,5.3063,5.1377
797,5.2984,4.7003
798,5.2175,4.8425
799,5.4186,4.9807
800,3.9411,5.9197
801,4.2754,5.946
802,3.6271,5.8136
803,4.2341,5.7474
804,4.5073,5.7742
805,5.1271,4.6769
806,5.2827,4.5021
807,5.2552,4.9582
808,5.2699,4.6088
809,5.1691,4.8345
810,5.2257,4.6533
811,5.2284,4.9248
812,5.0788,4.3884
813,5.4154,4.8441
814,5.2845,4.6666
815,5.1688,4.5799
816,5.2293,4.2586
817,5.075,4.8562
818,5.331,4.9794
819,5.325,4.4298
820,5.255,4.8281
821,5.2456,4.9079
822,5.3177,4.6325
823,5.3254,4.562
824,5.3075,4.8423
825,5.0999,5.1008
826,5.1405,5.0209
827,5.436,4.9261
828,5.1387,4.8948
829,4.8552,5.0868
830,5.3005,4.8737
831,5.1205,4.7252
832,5.0631,4.9198
833,5.023,4.4507
834,5.2063,4.8325
835,5.2447,4.8343
836,5.1111,4.7121
837,5.3492,4.9357
838,5.1705,4.994
839,5.3498,4.5252
840,5.1413,4.6567
841,5.3079,4.6482
842,5.1292,4.9383
843,5.1392,4.9436
844,5.4893,4.4156
845,5.188,5.1991
846,5.1249,4.5273
847,5.2563,4.8552
848,5.3317,4.8137
849,5.1835,4.1722
850,3.7757,6.4647
851,4.3611,5.7315
852,3.7993,5.3809
853,4.2706,5.6245
854,4.7716,5.1152
855,5.3514,4.6031
856,5.3329,4.8912
857,5.3685,4.7829
858,5.4429,4.7792
859,5.2907,5.0477
860,5.5029,4.8081
861,5.289,4.6614
862,5.1687,4.911
863,5.2779,4.3925
864,5.1292,5.3009
865,5.3499,4.2161
866,5.0154,4.762
867,5.0874,4.8962
868,5.2826,4.5516
869,5.3829,4.8597
870,5.1853,4.6125
871,4.9281,4.8878
872,5.3179,4.5492
873,5.0671,4.8431
874,5.2671,4.735
875,5.1499,4.6584
876,5.1219,4.4161
877,5.0545,4.7816
878,5.1411,5.1496
879,5.3423,4.6729
880,5.2077,4.9698
881,5.114,4.6991
882,5.3563,4.8188
883,5.2497,5.0156
884,5.3941,4.5849
885,5.3996,5.059
886,5.2615,4.9413
887,4.8396,4.9361
888,5.1894,4.7188
889,5.3164,4.4958
890,5.3099,4.6766
891,5.3435,4.8228
892,5.4162,4.4043
893,5.0253,5.2319
894,5.5286,4.9776
895,5.1715,4.6518
896,5.3691,4.487
897,5.4741,4.3343
898,5.0911,4.8076
899,5.3497,5.0885
900,4.1119,5.2549
901,4.6479,5.1287
902,4.8322,5.2255
903,4.9098,4.9002
904,5.3657,5.273
905,5.5002,4.5074
906,5.2466,4.8502
907,5.4547,4.4909
908,5.2494,4.7373
909,4.9638,4.8465
910,5.2196,4.9636
911,5.2406,5.3623
912,5.3171,4.583
913,5.2832,4.8761
914,5.156,4.7045
915,5.3289,5.1811
916,5.0373,4.7574
917,5.2843,5.0623
918,5.2415,4.6629
919,5.1758,4.2798
920,5.3971,4.6388
921,4.9455,5.0858
922,5.3748,4.6261
923,5.1722,4.3466
924,5.0822,4.7752
925,5.265,4.8522
926,5.0146,4.4046
927,5.4062,5.0295
928,5.1122,4.6162
929,5.0291,4.9529
930,4.8006,4.4669
931,5.1407,4.729
932,5.5135,4.4287
933,5.1494,4.7108
934,5.3873,5.2795
935,4.9699,4.7793
936,5.2709,5.242
937,4.9484,4.6152
938,5.1566,5.0121
939,5.3678,5.1253
940,5.2784,4.5207
941,5.2257,4.8746
942,5.1245,4.8766
943,5.2394,4.7247
944,5.1803,4.7558
945,5.1944,4.7372
946,5.4074,4.8525
947,5.2269,4.7028
948,4.9773,4.2936
949,5.2789,4.9877
950,3.7305,5.3111
951,4.3235,5.1172
952,4.7384,4.7336
953,5.1198,4.8205
954,4.9817,4.3501
955,5.2272,4.9432
956,5.0889,5.0508
957,5.2423,5.1421
958,5.4775,4.66
959,5.4366,4.4156
960,5.1617,5.0803
961,5.0215,4.5183
962,5.4083,4.9601
963,5.3705,4.8676
964,5.1872,4.3882
965,5.3571,4.4133
966,5.2646,4.8698
967,5.2369,4.6965
968,5.0474,4.9216
969,5.162,4.5351
970,4.8709,5.0318
971,5.2413,5.1723
972,5.1243,4.7684
973,4.9553,5.0722
974,5.272,4.6575
975,5.4563,4.3509
976,5.1663,5.0147
977,5.3426,4.656
978,5.1728,4.9258
979,4.8885,5.1386
980,5.1109,4.1262
981,4.9222,4.6213
982,5.0665,5.2974
983,5.0183,4.6854
984,5.0345,4.8276
985,5.0283,5.157
986,5.2869,4.9563
987,5.105,4.5899
988,5.4363,4.7622
989,5.2717,4.4749
990,5.46,4.962
991,5.193,4.5108
992,5.0221,4.7848
993,4.9809,4.6401
994,5.1236,4.995
995,5.337,5.0502
996,5.3668,4.841
997,5.3513,4.9541
998,4.9679,5.2376
999,5.1902,4.6231
1000,3.7584,5.9845
1001,4.6961,5.3969
1002,4.7173,5.4143
1003,4.898,4.7577
1004,5.0746,4.9217
1005,5.2889,5.0132
1006,5.2248,4.758
1007,5.0039,4.8976
1008,5.0437,4.5208
1009,5.1289,4.9912
1010,4.9354,5.0528
1011,5.1176,4.7845
1012,5.0447,4.5323
1013,5.2987,4.5907
1014,5.1832,4.5483
1015,5.147,4.7092
1016,5.5023,4.8458
1017,4.9805,4.7828
