state,case,dominant_strategy,iteration,probability
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,90,0.08784065497026204
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,91,0.08417510505671784
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,92,0.08064462320859181
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,93,0.07724561150075301
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,94,0.07397445887713432
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,95,0.07082755168177557
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,96,0.06780128339503634
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,97,0.06489206359190436
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,98,0.062096326143193915
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,99,0.05941053668367575
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,100,0.0568311993738467
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,101,0.054354862984179145
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,102,0.051978126332327484
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,103,0.049697643104958424
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,104,0.047510126096657695
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,105,0.0454123508987892
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,106,0.043401159071288144
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,107,0.04147346083019461
