omega,iteration,??=0.2,dominant_strategy,,,,??=0.5,,,,,??=0.9,
0.2,103,0.67225353,ASD1_IPHop,,0.5,103,0.825830685,ASD1_IPHop,,0.9,103,0.983689273,ASD1_IPHop
0.2,104,0.675037056,ASD1_IPHop,,0.5,104,0.828676372,ASD1_IPHop,,0.9,104,0.984338652,ASD1_IPHop
0.2,105,0.677804084,ASD1_IPHop,,0.5,105,0.831480536,ASD1_IPHop,,0.9,105,0.984962204,ASD1_IPHop
0.2,106,0.680554557,ASD1_IPHop,,0.5,106,0.834243572,ASD1_IPHop,,0.9,106,0.985560953,ASD1_IPHop
0.2,107,0.683288421,ASD1_IPHop,,0.5,107,0.83696588,ASD1_IPHop,,0.9,107,0.986135883,ASD1_IPHop
0.2,108,0.686005627,ASD1_IPHop,,0.5,108,0.839647867,ASD1_IPHop,,0.9,108,0.986687938,ASD1_IPHop
0.2,109,0.688706128,ASD1_IPHop,,0.5,109,0.842289942,ASD1_IPHop,,0.9,109,0.987218028,ASD1_IPHop
0.2,110,0.691389882,ASD1_IPHop,,0.5,110,0.844892519,ASD1_IPHop,,0.9,110,0.987727023,ASD1_IPHop
0.2,111,0.694056851,ASD1_IPHop,,0.5,111,0.847456016,ASD1_IPHop,,0.9,111,0.988215763,ASD1_IPHop
0.2,112,0.696706999,ASD1_IPHop,,0.5,112,0.849980853,ASD1_IPHop,,0.9,112,0.988685051,ASD1_IPHop
0.2,113,0.699340295,ASD1_IPHop,,0.5,113,0.852467455,ASD1_IPHop,,0.9,113,0.989135661,ASD1_IPHop
0.2,114,0.701956711,ASD1_IPHop,,0.5,114,0.854916246,ASD1_IPHop,,0.9,114,0.989568334,ASD1_IPHop
0.2,115,0.704556222,ASD1_IPHop,,0.5,115,0.857327654,ASD1_IPHop,,0.9,115,0.989983784,ASD1_IPHop
0.2,116,0.707138807,ASD1_IPHop,,0.5,116,0.85970211,ASD1_IPHop,,0.9,116,0.990382695,ASD1_IPHop
0.2,117,0.709704449,ASD1_IPHop,,0.5,117,0.862040043,ASD1_IPHop,,0.9,117,0.990765725,ASD1_IPHop
0.2,118,0.712253133,ASD1_IPHop,,0.5,118,0.864341886,ASD1_IPHop,,0.9,118,0.991133505,ASD1_IPHop
0.2,119,0.714784848,ASD1_IPHop,,0.5,119,0.866608071,ASD1_IPHop,,0.9,119,0.991486643,ASD1_IPHop
0.2,120,0.717299585,ASD1_IPHop,,0.5,120,0.86883903,ASD1_IPHop,,0.9,120,0.991825719,ASD1_IPHop
